2015-04-26_14:45:08 HA_Modbus_1 DISCONNECTED
2015-04-26_14:46:09 HA_Modbus_1 CONNECTED
2015-04-26_15:11:21 HA_SDM630M_1 THD_Voltage_L1_N__%: 2.7 %
2015-04-26_15:11:26 HA_SDM630M_1 Voltage_L1_to_L2__V: 241.4 V
2015-04-26_15:11:26 HA_SDM630M_1 Voltage_L3_to_L1__V: 241.4 V
2015-04-26_15:11:27 HA_SDM630M_1 Energy_apparent__kVAh: 0.020 kVAh
2015-04-26_15:11:27 HA_SDM630M_1 Charge__kAh: 0.098 kAh
2015-04-26_15:12:19 HA_SDM630M_1 CosPhi_L1: -14.5 %
2015-04-26_15:12:19 HA_SDM630M_1 Current_Sum__A: 0.12 A
2015-04-26_15:13:12 HA_SDM630M_1 CosPhi: 123.5 %
2015-04-26_15:13:23 HA_SDM630M_1 Charge__kAh: 0.100 kAh
2015-04-26_15:14:19 HA_SDM630M_1 CosPhi_L1: 35.6 %
2015-04-26_15:14:19 HA_SDM630M_1 Voltage_Avr__V: 80.8 V
2015-04-26_15:14:19 HA_SDM630M_1 Current_Sum__A: 0.13 A
2015-04-26_15:15:12 HA_SDM630M_1 Voltage_Avr_L_to_L__V: 161.4 V
2015-04-26_15:15:13 HA_SDM630M_1 CosPhi: -76.4 %
2015-04-26_15:15:18 HA_SDM630M_1 Current_N__A: 0.13 A
2015-04-26_15:15:26 HA_SDM630M_1 Energy_apparent__kVAh: 0.021 kVAh
2015-04-26_15:15:26 HA_SDM630M_1 Charge__kAh: 0.103 kAh
2015-04-26_15:16:19 HA_SDM630M_1 CosPhi_L1: -46.8 %
2015-04-26_15:16:19 HA_SDM630M_1 Voltage_Avr__V: 80.5 V
2015-04-26_15:16:19 HA_SDM630M_1 Current_Sum__A: 0.12 A
2015-04-26_15:17:11 HA_SDM630M_1 THD_Voltage_avr_LN__%: 16063515648.0 %
2015-04-26_15:17:11 HA_SDM630M_1 THD_Current_avr__%: 1887208734720.0 %
2015-04-26_15:17:11 HA_SDM630M_1 PowerFactor_inverted: 81.7
2015-04-26_15:17:12 HA_SDM630M_1 CosPhi: 73.6 %
2015-04-26_15:17:12 HA_SDM630M_1 Frequency__Hz: 50.1 Hz
2015-04-26_15:17:18 HA_SDM630M_1 Voltage_L1__V: 241.2 V
2015-04-26_15:17:21 HA_SDM630M_1 Current_N__A: 0.12 A
2015-04-26_15:17:21 HA_SDM630M_1 THD_Voltage_L1_N__%: 0.0 %
2015-04-26_15:17:26 HA_SDM630M_1 Voltage_L1_to_L2__V: 241.2 V
2015-04-26_15:17:26 HA_SDM630M_1 Voltage_L3_to_L1__V: 241.2 V
2015-04-26_15:17:27 HA_SDM630M_1 Charge__kAh: 0.105 kAh
2015-04-26_15:18:19 HA_SDM630M_1 CosPhi_L1: 6.4 %
2015-04-26_15:19:12 HA_SDM630M_1 CosPhi: 121.5 %
2015-04-26_15:19:12 HA_SDM630M_1 Frequency__Hz: 50.0 Hz
2015-04-26_15:19:23 HA_SDM630M_1 Energy_apparent__kVAh: 0.022 kVAh
2015-04-26_15:19:23 HA_SDM630M_1 Charge__kAh: 0.108 kAh
2015-04-26_15:20:20 HA_SDM630M_1 CosPhi_L1: 208.7 %
2015-04-26_15:20:20 HA_SDM630M_1 Voltage_Avr__V: 80.3 V
2015-04-26_15:21:12 HA_SDM630M_1 CosPhi: -39.2 %
2015-04-26_15:21:23 HA_SDM630M_1 Charge__kAh: 0.110 kAh
2015-04-26_15:22:19 HA_SDM630M_1 CosPhi_L1: -24.6 %
2015-04-26_15:22:19 HA_SDM630M_1 Voltage_Avr__V: 80.2 V
2015-04-26_15:23:11 HA_SDM630M_1 THD_Voltage_avr_LN__%: 0.0 %
2015-04-26_15:23:11 HA_SDM630M_1 THD_Current_avr__%: 0.0 %
2015-04-26_15:23:11 HA_SDM630M_1 PowerFactor_inverted: -19.5
2015-04-26_15:23:12 HA_SDM630M_1 CosPhi: 209.4 %
2015-04-26_15:23:21 HA_SDM630M_1 THD_Voltage_L1_N__%: 3.8 %
2015-04-26_15:23:26 HA_SDM630M_1 Voltage_L1_to_L2__V: 241.5 V
2015-04-26_15:23:26 HA_SDM630M_1 Voltage_L3_to_L1__V: 241.5 V
2015-04-26_15:23:27 HA_SDM630M_1 Energy_apparent__kVAh: 0.023 kVAh
2015-04-26_15:23:27 HA_SDM630M_1 Charge__kAh: 0.112 kAh
2015-04-26_15:24:19 HA_SDM630M_1 CosPhi_L1: -42.6 %
2015-04-26_15:24:19 HA_SDM630M_1 Voltage_Avr__V: 80.6 V
2015-04-26_15:25:12 HA_SDM630M_1 CosPhi: -45.3 %
2015-04-26_15:25:23 HA_SDM630M_1 Energy_apparent__kVAh: 0.024 kVAh
2015-04-26_15:25:23 HA_SDM630M_1 Charge__kAh: 0.115 kAh
2015-04-26_15:26:12 HA_SDM630M_1 Voltage_Avr_L_to_L__V: 161.2 V
2015-04-26_15:26:22 HA_SDM630M_1 CosPhi_L1: 23.8 %
2015-04-26_15:27:12 HA_SDM630M_1 CosPhi: -32.7 %
2015-04-26_15:27:23 HA_SDM630M_1 Charge__kAh: 0.017 kAh
2015-04-26_15:28:16 HA_SDM630M_1 Current_N__A: 0.13 A
2015-04-26_15:28:20 HA_SDM630M_1 CosPhi_L1: 181.5 %
2015-04-26_15:28:20 HA_SDM630M_1 Voltage_Avr__V: 80.7 V
2015-04-26_15:29:11 HA_SDM630M_1 THD_Voltage_avr_LN__%: -62256068.0 %
2015-04-26_15:29:11 HA_SDM630M_1 THD_Current_avr__%: -41504044.0 %
2015-04-26_15:29:11 HA_SDM630M_1 PowerFactor_inverted: 223.7
2015-04-26_15:29:12 HA_SDM630M_1 CosPhi: -73.8 %
2015-04-26_15:29:13 HA_SDM630M_1 Current_Sum__A: 0.13 A
2015-04-26_15:29:18 HA_SDM630M_1 Voltage_L1__V: 242.4 V
2015-04-26_15:29:21 HA_SDM630M_1 Current_N__A: 0.12 A
2015-04-26_15:29:21 HA_SDM630M_1 THD_Voltage_L1_N__%: 2.3 %
2015-04-26_15:29:26 HA_SDM630M_1 Voltage_L1_to_L2__V: 241.8 V
2015-04-26_15:29:26 HA_SDM630M_1 Voltage_L3_to_L1__V: 241.8 V
2015-04-26_15:29:28 HA_SDM630M_1 Energy_apparent__kVAh: 0.025 kVAh
2015-04-26_15:29:28 HA_SDM630M_1 Charge__kAh: 0.020 kAh
2015-04-26_15:30:20 HA_SDM630M_1 CosPhi_L1: 167.7 %
